rank,drug_id,drug_name,category,consensus_score,consensus_std,experts_agree,BindingAffinity,Toxicity,DrugLikeness,ResistanceMutation,gatekeeper_total,gatekeeper_quality,gatekeeper_novelty,gatekeeper_status,expert_disagreement
1,INVEST_002,GS-6207 (Capsid Inhibitor),promising,0.9221,0.0888,False,1.0,0.8,0.852,1.0,0.7913,0.9221,0.3987,active,Minor dissent: Toxicity (σ=0.089)
2,INVEST_001,Islatravir (MK-8591),promising,0.8412,0.184,False,1.0,0.8,0.552,1.0,0.7313,0.8412,0.4018,active,"Minor dissent: BindingAffinity, DrugLikeness, ResistanceMutation (σ=0.184)"
3,CA_001,Lenacapavir,promising,0.8343,0.1878,False,1.0,0.75,0.552,1.0,0.7236,0.8343,0.3915,active,"Minor dissent: BindingAffinity, DrugLikeness, ResistanceMutation (σ=0.188)"
4,ENTRY_001,Maraviroc,promising,0.8253,0.174,False,0.95,0.8,0.552,1.0,0.7248,0.8253,0.4233,active,"Minor dissent: BindingAffinity, DrugLikeness, ResistanceMutation (σ=0.174)"
5,INSTI_003,Bictegravir,promising,0.8146,0.1416,False,1.0,0.85,0.727,0.62,0.7201,0.8146,0.4367,active,"Minor dissent: BindingAffinity, ResistanceMutation (σ=0.142)"
6,INSTI_002,Dolutegravir,promising,0.793,0.1757,False,1.0,0.85,0.727,0.52,0.692,0.793,0.3888,active,"Minor dissent: BindingAffinity, ResistanceMutation (σ=0.176)"
7,NNRTI_001,Efavirenz,flagged,0.7488,0.2968,False,1.0,0.8,0.852,0.22,0.6762,0.7488,0.4583,active,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.22 (σ=0.297). Possible data quality issue."
8,NNRTI_003,Etravirine,flagged,0.7284,0.2931,False,1.0,0.85,0.727,0.22,0.6529,0.7284,0.4262,active,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.22 (σ=0.293). Possible data quality issue."
9,INSTI_001,Raltegravir,watchlist,0.7109,0.2165,False,1.0,0.8,0.465,0.52,0.6366,0.7109,0.4136,active,"Moderate uncertainty (σ=0.217), may improve with more data"
10,PI_001,Ritonavir,flagged,0.6856,0.2628,False,1.0,0.8,0.552,0.3,0.6325,0.6856,0.4731,active,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.30 (σ=0.263). Possible data quality issue."
11,PI_002,Darunavir,flagged,0.6856,0.2628,False,1.0,0.8,0.552,0.3,0.6257,0.6856,0.4459,active,"Expert disagreement detected! Outliers: BindingAffinity=1.00, ResistanceMutation=0.30 (σ=0.263). Possible data quality issue."
12,PI_003,Lopinavir,watchlist,0.6842,0.2453,False,1.0,0.8,0.465,0.4,0.624,0.6842,0.4434,active,"Moderate uncertainty (σ=0.245), may improve with more data"
13,NRTI_002,Lamivudine (3TC),flagged,0.6519,0.2763,False,0.95,0.8,0.552,0.22,0.605,0.6519,0.464,active,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.276). Possible data quality issue."
14,NRTI_004,Emtricitabine (FTC),flagged,0.6519,0.2763,False,0.95,0.8,0.552,0.22,0.489,0.6519,0.0,active,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.276). Possible data quality issue."
15,NNRTI_002,Nevirapine,flagged,0.6519,0.2763,False,0.95,0.8,0.552,0.22,0.588,0.6519,0.3962,active,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.276). Possible data quality issue."
16,NRTI_001,Zidovudine (AZT),watchlist,0.6399,0.2253,False,0.95,0.6,0.552,0.32,0.7299,0.6399,1.0,active,"Moderate uncertainty (σ=0.225), may improve with more data"
17,NRTI_003,Tenofovir Disoproxil,flagged,0.6283,0.285,False,0.95,0.8,0.465,0.22,0.5869,0.6283,0.4626,active,"Expert disagreement detected! Outliers: BindingAffinity=0.95, ResistanceMutation=0.22 (σ=0.285). Possible data quality issue."
