#,structure_id,batch,fmax_eV_A,natoms,formula,action
1,AlN_wz_thermal_1800K_r09,05_thermal_snapshot_static,16.37329219419552,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
2,AlN_wz_thermal_1800K_r05,05_thermal_snapshot_static,14.314085849544488,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
3,AlN_wz_thermal_1800K_r03,05_thermal_snapshot_static,12.91855950502172,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
4,AlN_wz_thermal_1200K_r05,05_thermal_snapshot_static,12.764407353065776,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
5,AlN_wz_thermal_1800K_r08,05_thermal_snapshot_static,11.468217319730048,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
6,AlN_wz_thermal_strained_1500K_r06,05_thermal_snapshot_static,11.392293498331288,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
7,AlN_wz_thermal_1800K_r12,05_thermal_snapshot_static,11.341503492870881,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
8,AlN_wz_thermal_strained_1500K_r09,05_thermal_snapshot_static,11.206069652386285,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
9,AlN_wz_thermal_strained_1500K_r03,05_thermal_snapshot_static,11.133217783622896,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
10,AlN_wz_thermal_1800K_r11,05_thermal_snapshot_static,10.93760493509211,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
11,AlN_wz_thermal_strained_1500K_r08,05_thermal_snapshot_static,10.802539996070868,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
12,AlN_wz_thermal_1500K_r12,05_thermal_snapshot_static,10.79797414498031,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
13,AlN_wz_thermal_1500K_r11,05_thermal_snapshot_static,10.751818903642285,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
14,AlN_wz_thermal_1800K_r06,05_thermal_snapshot_static,10.546791911364407,32,Al16N16,"Re-submit with constrained perturbation (max_disp < 0.1A, min_dist > 1.5A)"
