dataset,vol_per_atom_A3,energy_per_atom_eV,energy_fit_eV
DFT,7.747605543052036,-6.6561725,-6.656162552205246
DFT,9.699630192872421,-7.390816735,-7.390978032185485
DFT,10.469096812926225,-7.4473629075,-7.447187248256123
DFT,10.787930975029267,-7.4477162625,-7.447559075647994
DFT,11.613193121393326,-7.4019692925,-7.402175159822723
DFT,14.145491032628236,-7.015461545,-7.015437175229812
Single_ACE,7.747605543052036,-6.520038806819342,-6.519967825536731
Single_ACE,9.699630192872421,-7.384718924579467,-7.3858594849809345
Single_ACE,10.469096812926225,-7.455372254935427,-7.454204546667566
Single_ACE,10.787930975029267,-7.458001460042139,-7.456780996717377
Single_ACE,11.613193121393326,-7.410999405257529,-7.412493228393608
Single_ACE,14.145491032628236,-7.014433783926078,-7.014258553307115
Model_B,7.747605543052036,-6.416372221205263,-6.416175221759058
Model_B,9.699630192872421,-7.370625032350118,-7.373850185355928
Model_B,10.469096812926225,-7.449900507173845,-7.446162001766997
Model_B,10.787930975029267,-7.452805572968272,-7.449993864806092
Model_B,11.613193121393326,-7.407089710797386,-7.411090215569441
Model_B,14.145491032628236,-7.067518464881765,-7.0670400201256385
