structure,atom_label,n_atoms,Single_ACE_F_RMSE,Model_B_F_RMSE
AlN_wz_phonon_2x2x2_Al00_z_m0p0200,2x2x2_Al00,32,0.008526048118629496,0.0059825791370773295
AlN_wz_phonon_2x2x2_Al00_z_p0p0200,2x2x2_Al00,32,0.007945449366550495,0.006065962143179708
AlN_wz_phonon_2x2x2_Al01_x_m0p0050,2x2x2_Al01,32,0.007821943441107348,0.0056958413106644595
AlN_wz_phonon_2x2x2_Al01_x_p0p0050,2x2x2_Al01,32,0.00782218940698734,0.005696087235752035
AlN_wz_phonon_2x2x2_Al01_x_m0p0100,2x2x2_Al01,32,0.00786744178660764,0.00574661827402283
AlN_wz_phonon_2x2x2_Al01_x_p0p0100,2x2x2_Al01,32,0.00786894512589641,0.0057481218629487
AlN_wz_phonon_2x2x2_Al01_x_m0p0150,2x2x2_Al01,32,0.007943197799812346,0.005830768220990874
AlN_wz_phonon_2x2x2_Al01_x_p0p0150,2x2x2_Al01,32,0.007939964542470548,0.005827536115851993
AlN_wz_phonon_2x2x2_Al01_z_m0p0100,2x2x2_Al01,32,0.00805929092802501,0.005744727628640634
AlN_wz_phonon_2x2x2_Al01_z_p0p0100,2x2x2_Al01,32,0.0077739589648537135,0.005790461112860914
AlN_wz_phonon_2x2x2_N02_z_m0p0150,2x2x2_N02,32,0.007866704865391342,0.005941010813173993
AlN_wz_phonon_2x2x2_N02_z_p0p0150,2x2x2_N02,32,0.008278656641916987,0.005871898653391921
AlN_wz_phonon_2x2x2_N03_x_m0p0030,2x2x2_N03,32,0.0078084855138111,0.005681961215843454
AlN_wz_phonon_2x2x2_N03_x_p0p0030,2x2x2_N03,32,0.007808867035504752,0.0056823377015702186
AlN_wz_phonon_2x2x2_N03_x_m0p0150,2x2x2_N03,32,0.00786181085143352,0.0057676223661091855
AlN_wz_phonon_2x2x2_N03_x_p0p0150,2x2x2_N03,32,0.007859469519437012,0.005765221021671978
AlN_wz_phonon_2x2x2_N03_x_m0p0200,2x2x2_N03,32,0.007902683486658922,0.00583365827967278
AlN_wz_phonon_2x2x2_N03_x_p0p0200,2x2x2_N03,32,0.007904299379488148,0.005835261836013227
AlN_wz_phonon_2x2x2_N03_y_m0p0030,2x2x2_N03,32,0.007808620981604383,0.005682077951339426
AlN_wz_phonon_2x2x2_N03_y_p0p0030,2x2x2_N03,32,0.00780866364298727,0.005682153925995192
AlN_wz_phonon_2x2x2_N03_z_m0p0050,2x2x2_N03,32,0.007767110421997442,0.005717422483044846
AlN_wz_phonon_2x2x2_N03_z_p0p0050,2x2x2_N03,32,0.007906514684479627,0.005691934207470327
AlN_wz_phonon_2x2x2_N03_z_m0p0150,2x2x2_N03,32,0.007866594221114055,0.005940909169820896
AlN_wz_phonon_2x2x2_N03_z_p0p0150,2x2x2_N03,32,0.00827911895133252,0.005872343695850568
