metric,value
accuracy_Llama-3.1-8B-Instruct,0.685
accuracy_Mistral-7B-Instruct-v0.3,0.67
accuracy_Qwen2.5-7B-Instruct,0.645
majority_accuracy,0.88
yajie_high_consensus_accuracy,0.9217391304347826
yajie_low_consensus_accuracy,0.8235294117647058
consensus_accuracy_gap,0.09820971867007677
clean_fraction,0.165
noisy_fraction,0.085
ambiguous_fraction,0.75
oracle_accuracy,0.7272727272727273
full_consensus_accuracy,0.967741935483871
n_full_consensus,62.0
consensus_vs_accuracy_correlation,-0.02985229685445842
