Property,Value
EOS V0 [DFT],10.6368 A^3/atom
EOS B0 [DFT],192.9 GPa
EOS V0 [Single_ACE],10.6914 A^3/atom
EOS B0 [Single_ACE],209.5 GPa
EOS V0 [Model_B],10.7254 A^3/atom
EOS B0 [Model_B],201.8 GPa
Elastic C11 [SA],389.6 GPa
Elastic C11 [MB],448.2 GPa
Elastic C12 [SA],117.1 GPa
Elastic C12 [MB],120.0 GPa
Elastic C13 [SA],134.6 GPa
Elastic C13 [MB],156.3 GPa
Elastic C33 [SA],491.0 GPa
Elastic C33 [MB],419.0 GPa
Elastic C44 [SA],106.9 GPa
Elastic C44 [MB],117.2 GPa
Elastic C66 [SA],136.3 GPa
Elastic C66 [MB],164.1 GPa
Energy RMSE [SA],11.1460 meV/atom
Energy RMSE [MB],11.2080 meV/atom
Force RMSE [SA],0.039017 eV/A
Force RMSE [MB],0.038015 eV/A
